job_id,potential_skill_entity,context_sentence
1,the Head Office,As an Regional Manager North at Episode you are the link between the stores in Norway en Denmark and the Head Office in The Netherlands.
1,Recruit,"KEY RESPONSIBILITIES Implement the business strategies provided by the company and/or Retail Manager Ensure that all strategies, processes and procedures are respected Oversee all daily store operations within your region Recruit, train & hire employees Ensure product, VM and service to meet company quality standards Reporting weekly on progress of all stores within your region to the Retail Manager Prepare and present overviews and plans of action for improving the store results Adress identified areas of improvement Ensure achievement of operational retail targets, costs and KPI’s for your stores MUST HAVES Minimum of 2 years of experience in a management role in a retail environment (hard demand) Strategic mindset, Solution-oriented, Responsible and has the ability to see the wider scope as well as focusing on the details Speak fluently English (hard demand)"
1,train &,"KEY RESPONSIBILITIES Implement the business strategies provided by the company and/or Retail Manager Ensure that all strategies, processes and procedures are respected Oversee all daily store operations within your region Recruit, train & hire employees Ensure product, VM and service to meet company quality standards Reporting weekly on progress of all stores within your region to the Retail Manager Prepare and present overviews and plans of action for improving the store results Adress identified areas of improvement Ensure achievement of operational retail targets, costs and KPI’s for your stores MUST HAVES Minimum of 2 years of experience in a management role in a retail environment (hard demand) Strategic mindset, Solution-oriented, Responsible and has the ability to see the wider scope as well as focusing on the details Speak fluently English (hard demand)"
1,VM,"KEY RESPONSIBILITIES Implement the business strategies provided by the company and/or Retail Manager Ensure that all strategies, processes and procedures are respected Oversee all daily store operations within your region Recruit, train & hire employees Ensure product, VM and service to meet company quality standards Reporting weekly on progress of all stores within your region to the Retail Manager Prepare and present overviews and plans of action for improving the store results Adress identified areas of improvement Ensure achievement of operational retail targets, costs and KPI’s for your stores MUST HAVES Minimum of 2 years of experience in a management role in a retail environment (hard demand) Strategic mindset, Solution-oriented, Responsible and has the ability to see the wider scope as well as focusing on the details Speak fluently English (hard demand)"
1,KPI,"KEY RESPONSIBILITIES Implement the business strategies provided by the company and/or Retail Manager Ensure that all strategies, processes and procedures are respected Oversee all daily store operations within your region Recruit, train & hire employees Ensure product, VM and service to meet company quality standards Reporting weekly on progress of all stores within your region to the Retail Manager Prepare and present overviews and plans of action for improving the store results Adress identified areas of improvement Ensure achievement of operational retail targets, costs and KPI’s for your stores MUST HAVES Minimum of 2 years of experience in a management role in a retail environment (hard demand) Strategic mindset, Solution-oriented, Responsible and has the ability to see the wider scope as well as focusing on the details Speak fluently English (hard demand)"
1,English,"KEY RESPONSIBILITIES Implement the business strategies provided by the company and/or Retail Manager Ensure that all strategies, processes and procedures are respected Oversee all daily store operations within your region Recruit, train & hire employees Ensure product, VM and service to meet company quality standards Reporting weekly on progress of all stores within your region to the Retail Manager Prepare and present overviews and plans of action for improving the store results Adress identified areas of improvement Ensure achievement of operational retail targets, costs and KPI’s for your stores MUST HAVES Minimum of 2 years of experience in a management role in a retail environment (hard demand) Strategic mindset, Solution-oriented, Responsible and has the ability to see the wider scope as well as focusing on the details Speak fluently English (hard demand)"
1,English,Job Type: Full-time Experience: management role in a retail environment: 1 year (Required) Language: English (Required) Work Location:
2,Onomondo,"At Onomondo, we’re building cloud-native connectivity for everything."
2,North Star,"Guided by our North Star, we’re here to help the world achieve more—with curiosity, ambition, and a touch of playfulness."
2,Core Network Squad,"We are looking for a Product Manager to support our Core Network Squad, which is focused on enhancing the uptime, reliability, and observability of our core network infrastructure."
2,Onomondo,"As the second Product Manager at Onomondo, you'll also be a key contributor to our Product team that genuinely believes in strategic product thinking."
2,Onomondo,"While defining the future of our core product offering and challenging industry standards, you’ll play a pivotal role in scaling our Product function, shaping our culture and educating Onomondo how we work."
2,Onomondians,"Why Join Onomondo? A playful, ambitious culture where people are trusted to do what they do best A workspace that’s one-of-a-kind, in both design and energy Legendary lunches, snack heaven, and events that actually bring people together Room to bring your personality and ideas into the way we work and collaborate And while Onomondians might not always be the most structured bunch, our Product team is—so you’ll be in good hands."
2,CV,That means:  We don’t need your picture or cover letter—just your CV We select candidates based on skills and relevant work experience for the role.
2,CV,"Apply here with your CV 30-minute screening call with our recruiter, Christian Payne In-depth interview with Mareike (Director of Product & your manager) Discovery workshop with a mix of Product people & engineers  Ready to Make an Impact?"
